method,train_seed,partition_seed,eval_seed,success_rate_percent
official,,,0,76.0
official,,,1,74.0
official,,,2,78.0
official,,,3,84.0
official,,,4,72.0
joint,0,,0,86.0
joint,0,,1,70.0
joint,0,,2,82.0
joint,0,,3,78.0
joint,0,,4,70.0
joint,42,,0,74.0
joint,42,,1,72.0
joint,42,,2,72.0
joint,42,,3,76.0
joint,42,,4,68.0
joint,625,,0,78.0
joint,625,,1,84.0
joint,625,,2,76.0
joint,625,,3,84.0
joint,625,,4,82.0
global,0,,0,66.0
global,0,,1,76.0
global,0,,2,82.0
global,0,,3,82.0
global,0,,4,82.0
global,42,,0,70.0
global,42,,1,84.0
global,42,,2,80.0
global,42,,3,82.0
global,42,,4,82.0
global,625,,0,72.0
global,625,,1,76.0
global,625,,2,86.0
global,625,,3,84.0
global,625,,4,76.0
random_voronoi,0,0,0,74.0
random_voronoi,0,0,1,70.0
random_voronoi,0,0,2,80.0
random_voronoi,0,0,3,82.0
random_voronoi,0,0,4,80.0
random_voronoi,0,1,0,74.0
random_voronoi,0,1,1,80.0
random_voronoi,0,1,2,78.0
random_voronoi,0,1,3,74.0
random_voronoi,0,1,4,82.0
random_voronoi,0,2,0,72.0
random_voronoi,0,2,1,72.0
random_voronoi,0,2,2,84.0
random_voronoi,0,2,3,82.0
random_voronoi,0,2,4,80.0
random_voronoi,42,0,0,72.0
random_voronoi,42,0,1,84.0
random_voronoi,42,0,2,88.0
random_voronoi,42,0,3,76.0
random_voronoi,42,0,4,76.0
random_voronoi,42,1,0,62.0
random_voronoi,42,1,1,82.0
random_voronoi,42,1,2,84.0
random_voronoi,42,1,3,84.0
random_voronoi,42,1,4,82.0
random_voronoi,42,2,0,78.0
random_voronoi,42,2,1,80.0
random_voronoi,42,2,2,74.0
random_voronoi,42,2,3,84.0
random_voronoi,42,2,4,76.0
random_voronoi,625,0,0,70.0
random_voronoi,625,0,1,84.0
random_voronoi,625,0,2,70.0
random_voronoi,625,0,3,82.0
random_voronoi,625,0,4,72.0
random_voronoi,625,1,0,66.0
random_voronoi,625,1,1,72.0
random_voronoi,625,1,2,80.0
random_voronoi,625,1,3,74.0
random_voronoi,625,1,4,76.0
random_voronoi,625,2,0,62.0
random_voronoi,625,2,1,82.0
random_voronoi,625,2,2,82.0
random_voronoi,625,2,3,76.0
random_voronoi,625,2,4,80.0
kmeanspp,0,0,0,70.0
kmeanspp,0,0,1,80.0
kmeanspp,0,0,2,74.0
kmeanspp,0,0,3,78.0
kmeanspp,0,0,4,80.0
kmeanspp,0,1,0,74.0
kmeanspp,0,1,1,80.0
kmeanspp,0,1,2,78.0
kmeanspp,0,1,3,84.0
kmeanspp,0,1,4,80.0
kmeanspp,0,2,0,70.0
kmeanspp,0,2,1,84.0
kmeanspp,0,2,2,80.0
kmeanspp,0,2,3,76.0
kmeanspp,0,2,4,82.0
kmeanspp,42,0,0,80.0
kmeanspp,42,0,1,70.0
kmeanspp,42,0,2,82.0
kmeanspp,42,0,3,76.0
kmeanspp,42,0,4,86.0
kmeanspp,42,1,0,80.0
kmeanspp,42,1,1,76.0
kmeanspp,42,1,2,78.0
kmeanspp,42,1,3,76.0
kmeanspp,42,1,4,82.0
kmeanspp,42,2,0,72.0
kmeanspp,42,2,1,80.0
kmeanspp,42,2,2,80.0
kmeanspp,42,2,3,84.0
kmeanspp,42,2,4,80.0
kmeanspp,625,0,0,78.0
kmeanspp,625,0,1,82.0
kmeanspp,625,0,2,84.0
kmeanspp,625,0,3,82.0
kmeanspp,625,0,4,84.0
kmeanspp,625,1,0,80.0
kmeanspp,625,1,1,80.0
kmeanspp,625,1,2,78.0
kmeanspp,625,1,3,66.0
kmeanspp,625,1,4,84.0
kmeanspp,625,2,0,76.0
kmeanspp,625,2,1,78.0
kmeanspp,625,2,2,84.0
kmeanspp,625,2,3,76.0
kmeanspp,625,2,4,72.0
spectral,0,0,0,80.0
spectral,0,0,1,82.0
spectral,0,0,2,74.0
spectral,0,0,3,88.0
spectral,0,0,4,72.0
spectral,0,1,0,72.0
spectral,0,1,1,80.0
spectral,0,1,2,80.0
spectral,0,1,3,84.0
spectral,0,1,4,80.0
spectral,0,2,0,82.0
spectral,0,2,1,74.0
spectral,0,2,2,74.0
spectral,0,2,3,82.0
spectral,0,2,4,82.0
spectral,42,0,0,70.0
spectral,42,0,1,74.0
spectral,42,0,2,84.0
spectral,42,0,3,84.0
spectral,42,0,4,80.0
spectral,42,1,0,78.0
spectral,42,1,1,72.0
spectral,42,1,2,80.0
spectral,42,1,3,80.0
spectral,42,1,4,76.0
spectral,42,2,0,76.0
spectral,42,2,1,68.0
spectral,42,2,2,72.0
spectral,42,2,3,82.0
spectral,42,2,4,76.0
spectral,625,0,0,78.0
spectral,625,0,1,78.0
spectral,625,0,2,78.0
spectral,625,0,3,82.0
spectral,625,0,4,78.0
spectral,625,1,0,70.0
spectral,625,1,1,78.0
spectral,625,1,2,82.0
spectral,625,1,3,78.0
spectral,625,1,4,76.0
spectral,625,2,0,78.0
spectral,625,2,1,80.0
spectral,625,2,2,80.0
spectral,625,2,3,74.0
spectral,625,2,4,78.0
