method,train_seed,partition_seed,eval_seed,success_rate_percent
official,,,0,34.0
official,,,1,26.0
official,,,2,44.0
official,,,3,36.0
official,,,4,54.0
global,0,,0,40.0
global,0,,1,38.0
global,0,,2,46.0
global,0,,3,44.0
global,0,,4,64.0
global,42,,0,40.0
global,42,,1,34.0
global,42,,2,54.0
global,42,,3,44.0
global,42,,4,62.0
global,625,,0,44.0
global,625,,1,34.0
global,625,,2,50.0
global,625,,3,42.0
global,625,,4,60.0
kmeanspp,0,0,0,32.0
kmeanspp,0,0,1,28.000000000000004
kmeanspp,0,0,2,44.0
kmeanspp,0,0,3,46.0
kmeanspp,0,0,4,56.00000000000001
kmeanspp,0,1,0,34.0
kmeanspp,0,1,1,34.0
kmeanspp,0,1,2,48.0
kmeanspp,0,1,3,42.0
kmeanspp,0,1,4,56.00000000000001
kmeanspp,0,2,0,44.0
kmeanspp,0,2,1,28.000000000000004
kmeanspp,0,2,2,48.0
kmeanspp,0,2,3,40.0
kmeanspp,0,2,4,52.0
kmeanspp,42,0,0,40.0
kmeanspp,42,0,1,36.0
kmeanspp,42,0,2,42.0
kmeanspp,42,0,3,42.0
kmeanspp,42,0,4,52.0
kmeanspp,42,1,0,34.0
kmeanspp,42,1,1,32.0
kmeanspp,42,1,2,46.0
kmeanspp,42,1,3,40.0
kmeanspp,42,1,4,62.0
kmeanspp,42,2,0,44.0
kmeanspp,42,2,1,36.0
kmeanspp,42,2,2,46.0
kmeanspp,42,2,3,44.0
kmeanspp,42,2,4,54.0
kmeanspp,625,0,0,38.0
kmeanspp,625,0,1,32.0
kmeanspp,625,0,2,46.0
kmeanspp,625,0,3,42.0
kmeanspp,625,0,4,56.00000000000001
kmeanspp,625,1,0,38.0
kmeanspp,625,1,1,26.0
kmeanspp,625,1,2,52.0
kmeanspp,625,1,3,40.0
kmeanspp,625,1,4,60.0
kmeanspp,625,2,0,42.0
kmeanspp,625,2,1,30.0
kmeanspp,625,2,2,44.0
kmeanspp,625,2,3,44.0
kmeanspp,625,2,4,60.0
spectral,0,0,0,44.0
spectral,0,0,1,32.0
spectral,0,0,2,42.0
spectral,0,0,3,46.0
spectral,0,0,4,56.00000000000001
spectral,0,1,0,42.0
spectral,0,1,1,34.0
spectral,0,1,2,42.0
spectral,0,1,3,40.0
spectral,0,1,4,57.99999999999999
spectral,0,2,0,40.0
spectral,0,2,1,32.0
spectral,0,2,2,44.0
spectral,0,2,3,44.0
spectral,0,2,4,62.0
spectral,42,0,0,42.0
spectral,42,0,1,38.0
spectral,42,0,2,40.0
spectral,42,0,3,38.0
spectral,42,0,4,56.00000000000001
spectral,42,1,0,38.0
spectral,42,1,1,30.0
spectral,42,1,2,46.0
spectral,42,1,3,42.0
spectral,42,1,4,56.00000000000001
spectral,42,2,0,40.0
spectral,42,2,1,34.0
spectral,42,2,2,48.0
spectral,42,2,3,42.0
spectral,42,2,4,60.0
spectral,625,0,0,42.0
spectral,625,0,1,36.0
spectral,625,0,2,44.0
spectral,625,0,3,44.0
spectral,625,0,4,54.0
spectral,625,1,0,42.0
spectral,625,1,1,32.0
spectral,625,1,2,44.0
spectral,625,1,3,44.0
spectral,625,1,4,57.99999999999999
spectral,625,2,0,46.0
spectral,625,2,1,32.0
spectral,625,2,2,50.0
spectral,625,2,3,44.0
spectral,625,2,4,64.0
auto_lap,0,0,0,40.0
auto_lap,0,0,1,38.0
auto_lap,0,0,2,46.0
auto_lap,0,0,3,44.0
auto_lap,0,0,4,64.0
auto_lap,42,0,0,40.0
auto_lap,42,0,1,34.0
auto_lap,42,0,2,54.0
auto_lap,42,0,3,44.0
auto_lap,42,0,4,62.0
auto_lap,625,0,0,44.0
auto_lap,625,0,1,34.0
auto_lap,625,0,2,50.0
auto_lap,625,0,3,42.0
auto_lap,625,0,4,60.0
