method,train_seed,partition_seed,eval_seed,success_rate_percent
official,,,0,94.0
official,,,1,88.0
official,,,2,96.0
official,,,3,94.0
official,,,4,90.0
global,0,,0,88.0
global,0,,1,92.0
global,0,,2,96.0
global,0,,3,96.0
global,0,,4,96.0
global,42,,0,92.0
global,42,,1,96.0
global,42,,2,94.0
global,42,,3,96.0
global,42,,4,94.0
global,625,,0,92.0
global,625,,1,94.0
global,625,,2,96.0
global,625,,3,98.0
global,625,,4,98.0
kmeanspp,0,0,0,92.0
kmeanspp,0,0,1,92.0
kmeanspp,0,0,2,92.0
kmeanspp,0,0,3,98.0
kmeanspp,0,0,4,94.0
kmeanspp,0,1,0,94.0
kmeanspp,0,1,1,94.0
kmeanspp,0,1,2,96.0
kmeanspp,0,1,3,98.0
kmeanspp,0,1,4,96.0
kmeanspp,0,2,0,94.0
kmeanspp,0,2,1,94.0
kmeanspp,0,2,2,92.0
kmeanspp,0,2,3,100.0
kmeanspp,0,2,4,94.0
kmeanspp,42,0,0,92.0
kmeanspp,42,0,1,94.0
kmeanspp,42,0,2,94.0
kmeanspp,42,0,3,98.0
kmeanspp,42,0,4,96.0
kmeanspp,42,1,0,94.0
kmeanspp,42,1,1,94.0
kmeanspp,42,1,2,96.0
kmeanspp,42,1,3,96.0
kmeanspp,42,1,4,92.0
kmeanspp,42,2,0,92.0
kmeanspp,42,2,1,92.0
kmeanspp,42,2,2,94.0
kmeanspp,42,2,3,98.0
kmeanspp,42,2,4,94.0
kmeanspp,625,0,0,94.0
kmeanspp,625,0,1,94.0
kmeanspp,625,0,2,94.0
kmeanspp,625,0,3,96.0
kmeanspp,625,0,4,94.0
kmeanspp,625,1,0,94.0
kmeanspp,625,1,1,92.0
kmeanspp,625,1,2,94.0
kmeanspp,625,1,3,98.0
kmeanspp,625,1,4,94.0
kmeanspp,625,2,0,92.0
kmeanspp,625,2,1,94.0
kmeanspp,625,2,2,94.0
kmeanspp,625,2,3,98.0
kmeanspp,625,2,4,94.0
spectral,0,0,0,90.0
spectral,0,0,1,96.0
spectral,0,0,2,98.0
spectral,0,0,3,94.0
spectral,0,0,4,94.0
spectral,0,1,0,92.0
spectral,0,1,1,92.0
spectral,0,1,2,92.0
spectral,0,1,3,98.0
spectral,0,1,4,96.0
spectral,0,2,0,90.0
spectral,0,2,1,94.0
spectral,0,2,2,96.0
spectral,0,2,3,96.0
spectral,0,2,4,94.0
spectral,42,0,0,90.0
spectral,42,0,1,96.0
spectral,42,0,2,96.0
spectral,42,0,3,98.0
spectral,42,0,4,96.0
spectral,42,1,0,88.0
spectral,42,1,1,92.0
spectral,42,1,2,94.0
spectral,42,1,3,98.0
spectral,42,1,4,98.0
spectral,42,2,0,94.0
spectral,42,2,1,94.0
spectral,42,2,2,94.0
spectral,42,2,3,98.0
spectral,42,2,4,94.0
spectral,625,0,0,92.0
spectral,625,0,1,96.0
spectral,625,0,2,94.0
spectral,625,0,3,94.0
spectral,625,0,4,96.0
spectral,625,1,0,92.0
spectral,625,1,1,92.0
spectral,625,1,2,96.0
spectral,625,1,3,98.0
spectral,625,1,4,96.0
spectral,625,2,0,94.0
spectral,625,2,1,92.0
spectral,625,2,2,94.0
spectral,625,2,3,96.0
spectral,625,2,4,94.0
auto_lap,0,0,0,88.0
auto_lap,0,0,1,92.0
auto_lap,0,0,2,96.0
auto_lap,0,0,3,96.0
auto_lap,0,0,4,96.0
auto_lap,42,0,0,92.0
auto_lap,42,0,1,96.0
auto_lap,42,0,2,94.0
auto_lap,42,0,3,96.0
auto_lap,42,0,4,94.0
auto_lap,625,0,0,92.0
auto_lap,625,0,1,94.0
auto_lap,625,0,2,96.0
auto_lap,625,0,3,98.0
auto_lap,625,0,4,98.0
