method,train_seed,partition_seed,eval_seed,success_rate_percent
official,,,0,56.00000000000001
official,,,1,54.0
official,,,2,38.0
official,,,3,46.0
official,,,4,57.99999999999999
global,0,,0,54.0
global,0,,1,48.0
global,0,,2,38.0
global,0,,3,44.0
global,0,,4,54.0
global,42,,0,54.0
global,42,,1,52.0
global,42,,2,34.0
global,42,,3,48.0
global,42,,4,57.99999999999999
global,625,,0,57.99999999999999
global,625,,1,40.0
global,625,,2,32.0
global,625,,3,48.0
global,625,,4,60.0
spectral,0,0,0,56.00000000000001
spectral,0,0,1,44.0
spectral,0,0,2,36.0
spectral,0,0,3,44.0
spectral,0,0,4,54.0
spectral,0,1,0,57.99999999999999
spectral,0,1,1,48.0
spectral,0,1,2,38.0
spectral,0,1,3,46.0
spectral,0,1,4,60.0
spectral,0,2,0,54.0
spectral,0,2,1,44.0
spectral,0,2,2,40.0
spectral,0,2,3,48.0
spectral,0,2,4,57.99999999999999
spectral,42,0,0,60.0
spectral,42,0,1,48.0
spectral,42,0,2,38.0
spectral,42,0,3,42.0
spectral,42,0,4,56.00000000000001
spectral,42,1,0,60.0
spectral,42,1,1,42.0
spectral,42,1,2,38.0
spectral,42,1,3,48.0
spectral,42,1,4,60.0
spectral,42,2,0,56.00000000000001
spectral,42,2,1,50.0
spectral,42,2,2,36.0
spectral,42,2,3,44.0
spectral,42,2,4,60.0
spectral,625,0,0,54.0
spectral,625,0,1,52.0
spectral,625,0,2,40.0
spectral,625,0,3,44.0
spectral,625,0,4,62.0
spectral,625,1,0,54.0
spectral,625,1,1,48.0
spectral,625,1,2,38.0
spectral,625,1,3,48.0
spectral,625,1,4,64.0
spectral,625,2,0,57.99999999999999
spectral,625,2,1,46.0
spectral,625,2,2,36.0
spectral,625,2,3,46.0
spectral,625,2,4,60.0
